"Strategy Name";"Filters result";"Net profit (IS)";"Net profit (OOS)";"Profit factor (IS)";"Profit factor (OOS)";"Avg. Win (IS)";"Avg. Loss (IS)";"Stability (IS)";"Stability (OOS)";"Avg. Win (OOS)";"Avg. Loss (OOS)";"Edge Ratio (IS)";"Edge Ratio (OOS)";"Fitness (IS)";"Fitness (OOS)";"Ret/DD Ratio (IS)";"Ret/DD Ratio (OOS)";"Avg. Trades Per Month";"Win/Loss ratio (IS)";"Win/Loss ratio (OOS)";"Complexity (IS)";"Degrees of freedom (IS)";"Kelly formula (IS)";"Kelly formula (OOS)";"SQN Score (IS)";"SQN Score (OOS)";"EquityAngle";"EquitySlope"
"Strategy 3.5.181";"PASSED";"1434.87";"0.0";"1.35";"0.0";"125.94";"72.05";"0.58";"0.0";"0.0";"0.0";"1.55";"0.0";"0.55";"0.0";"1.62";"0.0";"3.26";"0.77";"0.0";"10";"91";"11.28";"0.0";"0.24";"0.0";"57.22";"30.9"
"Strategy 4.15.182";"PASSED";"629.46";"0.0";"1.33";"0.0";"66.85";"47.77";"0.66";"0.0";"0.0";"0.0";"1.23";"0.0";"0.53";"0.0";"1.75";"0.0";"2.52";"0.95";"0.0";"17";"61";"12.07";"0.0";"0.21";"0.0";"33.95";"25.12"
"Strategy 3.23.117";"PASSED";"431.82";"0.0";"1.1";"0.0";"67.52";"71.51";"0.53";"0.0";"0.0";"0.0";"1.14";"0.0";"0.41";"0.0";"0.55";"0.0";"4.26";"1.16";"0.0";"11";"121";"4.85";"0.0";"0.1";"0.0";"24.95";"9.98"
"Strategy 4.17.106";"PASSED";"3331.26";"0.0";"1.63";"0.0";"108.68";"86.14";"0.9";"0.0";"0.0";"0.0";"1.45";"0.0";"0.74";"0.0";"5.99";"0.0";"4.52";"1.3";"0.0";"12";"128";"21.89";"0.0";"0.66";"0.0";"74.45";"71.47"
"Strategy 3.7.143";"PASSED";"234.18";"0.0";"1.06";"0.0";"110.57";"63.79";"0.53";"0.0";"0.0";"0.0";"1.43";"0.0";"0.33";"0.0";"0.31";"0.0";"2.97";"0.61";"0.0";"9";"83";"2.3";"0.0";"0.08";"0.0";"14.18";"1.99"
"Strategy 3.17.123";"PASSED";"1874.16";"0.0";"1.28";"0.0";"129.27";"65.26";"0.79";"0.0";"0.0";"0.0";"1.6";"0.0";"0.65";"0.0";"1.99";"0.0";"5.52";"0.64";"0.0";"7";"164";"8.48";"0.0";"0.5";"0.0";"63.31";"46.85"
"Strategy 3.19.194";"PASSED";"512.28";"0.0";"1.17";"0.0";"73.32";"40.75";"0.64";"0.0";"0.0";"0.0";"1.69";"0.0";"0.45";"0.0";"0.82";"0.0";"3.84";"0.65";"0.0";"8";"111";"5.87";"0.0";"0.18";"0.0";"28.93";"12.44"
"Strategy 2.23.134";"PASSED";"1395.09";"0.0";"1.41";"0.0";"116.12";"64.72";"0.79";"0.0";"0.0";"0.0";"1.71";"0.0";"0.62";"0.0";"3.1";"0.0";"3.0";"0.79";"0.0";"10";"83";"12.92";"0.0";"0.43";"0.0";"55.86";"46.36"
"Strategy 4.16.106";"PASSED";"1743.66";"0.0";"1.64";"0.0";"106.89";"68.65";"0.87";"0.0";"0.0";"0.0";"1.61";"0.0";"0.68";"0.0";"5.07";"0.0";"2.65";"1.05";"0.0";"12";"70";"19.89";"0.0";"0.44";"0.0";"61.54";"54.77"
"Strategy 3.10.152";"PASSED";"272.43";"0.0";"1.04";"0.0";"99.85";"75.53";"0.68";"0.0";"0.0";"0.0";"1.39";"0.0";"0.37";"0.0";"0.38";"0.0";"4.71";"0.79";"0.0";"11";"135";"1.88";"0.0";"0.06";"0.0";"16.1";"11.27"
"Strategy 4.3.106";"PASSED";"876.87";"0.0";"1.61";"0.0";"74.51";"43.42";"0.85";"0.0";"0.0";"0.0";"1.46";"0.0";"0.51";"0.0";"1.89";"0.0";"2.06";"0.94";"0.0";"16";"48";"18.39";"0.0";"0.23";"0.0";"42.95";"37.37"
"Strategy 2.16.146";"PASSED";"1665.63";"0.0";"1.49";"0.0";"97.52";"54.05";"0.83";"0.0";"0.0";"0.0";"1.75";"0.0";"0.67";"0.0";"3.44";"0.0";"3.71";"0.83";"0.0";"12";"103";"14.85";"0.0";"0.31";"0.0";"60.48";"54.43"
